21:08:20.756 INFO [qtp1805067756-83]: Updated Metadata information for placement ( 1004 on 6 )
21:24:14.794 INFO [qtp1805067756-198]: Updated Metadata information for placement ( 1004 on 7 )
21:25:15.059 WARN [HttpDispatcher-124]: There is a running transaction associated with this connection org.polypheny.db.avatica.PolyphenyDbConnectionHandle@d1193eb9
21:25:15.059 WARN [HttpDispatcher-124]: Rollback transaction org.polypheny.db.transaction.TransactionImpl@8c686e11
21:25:15.306 INFO [pool-7-thread-1]: Queue --> 0 
21:25:15.501 INFO [pool-7-thread-1]: Queue --> 1 
21:25:15.595 INFO [pool-7-thread-1]: Queue --> 0 
21:25:15.677 INFO [pool-7-thread-1]: Queue --> 1 
21:25:15.743 INFO [pool-7-thread-1]: Queue --> 0 
21:25:15.915 INFO [pool-7-thread-1]: Queue --> 1 
21:25:16.031 INFO [pool-7-thread-1]: Queue --> 0 
21:25:16.162 INFO [pool-7-thread-1]: Queue --> 1 
21:25:16.256 INFO [pool-7-thread-1]: Queue --> 0 
21:25:16.337 INFO [pool-7-thread-1]: Queue --> 1 
21:25:16.398 INFO [pool-7-thread-1]: Queue --> 0 
21:25:16.592 INFO [pool-7-thread-1]: Queue --> 1 
21:25:16.683 INFO [pool-7-thread-1]: Queue --> 1 
21:25:16.767 INFO [pool-7-thread-1]: Queue --> 1 
21:25:16.830 INFO [pool-7-thread-1]: Queue --> 0 
21:25:17.022 INFO [pool-7-thread-1]: Queue --> 1 
21:25:17.116 INFO [pool-7-thread-1]: Queue --> 1 
21:25:17.198 INFO [pool-7-thread-1]: Queue --> 0 
21:25:17.264 INFO [pool-7-thread-1]: Queue --> 0 
21:25:17.471 INFO [pool-7-thread-1]: Queue --> 1 
21:25:17.540 INFO [pool-7-thread-1]: Queue --> 0 
21:25:17.664 INFO [pool-7-thread-1]: Queue --> 1 
21:25:17.764 INFO [pool-7-thread-1]: Queue --> 0 
21:25:17.899 INFO [pool-7-thread-1]: Queue --> 1 
21:25:18.005 INFO [pool-7-thread-1]: Queue --> 0 
21:25:18.062 INFO [pool-7-thread-1]: Queue --> 0 
21:25:18.260 INFO [pool-7-thread-1]: Queue --> 1 
21:25:18.351 INFO [pool-7-thread-1]: Queue --> 1 
21:25:18.433 INFO [pool-7-thread-1]: Queue --> 1 
21:25:18.498 INFO [pool-7-thread-1]: Queue --> 0 
21:25:18.696 INFO [pool-7-thread-1]: Queue --> 1 
21:25:18.793 INFO [pool-7-thread-1]: Queue --> 1 
21:25:18.877 INFO [pool-7-thread-1]: Queue --> 1 
21:25:18.940 INFO [pool-7-thread-1]: Queue --> 0 
21:25:19.106 INFO [pool-7-thread-1]: Queue --> 0 
21:25:19.169 INFO [pool-7-thread-1]: Queue --> 0 
21:25:19.424 INFO [pool-7-thread-1]: Queue --> 1 
21:25:19.532 INFO [pool-7-thread-1]: Queue --> 0 
21:25:19.583 INFO [pool-7-thread-1]: Queue --> 0 
21:25:19.886 INFO [pool-7-thread-1]: Queue --> 2 
21:25:19.981 INFO [pool-7-thread-1]: Queue --> 2 
21:25:20.046 INFO [pool-7-thread-1]: Queue --> 1 
21:25:20.150 INFO [pool-7-thread-1]: Queue --> 0 
21:25:20.285 INFO [pool-7-thread-1]: Queue --> 1 
21:25:20.388 INFO [pool-7-thread-1]: Queue --> 0 
21:25:20.443 INFO [pool-7-thread-1]: Queue --> 0 
21:25:20.651 INFO [pool-7-thread-1]: Queue --> 1 
21:25:20.749 INFO [pool-7-thread-1]: Queue --> 0 
21:25:20.870 INFO [pool-7-thread-1]: Queue --> 1 
21:25:20.947 INFO [pool-7-thread-1]: Queue --> 0 
21:25:21.033 INFO [pool-7-thread-1]: Queue --> 0 
21:25:21.247 INFO [pool-7-thread-1]: Queue --> 1 
21:25:21.339 INFO [pool-7-thread-1]: Queue --> 1 
21:25:21.420 INFO [pool-7-thread-1]: Queue --> 1 
21:25:21.481 INFO [pool-7-thread-1]: Queue --> 0 
21:25:21.607 INFO [pool-7-thread-1]: Queue --> 0 
21:25:21.733 INFO [pool-7-thread-1]: Queue --> 0 
21:25:21.903 INFO [pool-7-thread-1]: Queue --> 1 
21:25:21.974 INFO [pool-7-thread-1]: Queue --> 0 
21:25:22.167 INFO [pool-7-thread-1]: Queue --> 1 
21:25:22.260 INFO [pool-7-thread-1]: Queue --> 0 
21:25:22.343 INFO [pool-7-thread-1]: Queue --> 1 
21:25:22.405 INFO [pool-7-thread-1]: Queue --> 0 
21:25:22.580 INFO [pool-7-thread-1]: Queue --> 1 
21:25:22.646 INFO [pool-7-thread-1]: Queue --> 0 
21:25:22.749 INFO [pool-7-thread-1]: Queue --> 0 
21:25:22.953 INFO [pool-7-thread-1]: Queue --> 1 
21:25:23.043 INFO [pool-7-thread-1]: Queue --> 1 
21:25:23.124 INFO [pool-7-thread-1]: Queue --> 1 
21:25:23.189 INFO [pool-7-thread-1]: Queue --> 0 
21:25:23.383 INFO [pool-7-thread-1]: Queue --> 1 
21:25:23.475 INFO [pool-7-thread-1]: Queue --> 1 
21:25:23.556 INFO [pool-7-thread-1]: Queue --> 1 
21:25:23.617 INFO [pool-7-thread-1]: Queue --> 0 
21:25:23.742 INFO [pool-7-thread-1]: Queue --> 0 
21:25:23.927 INFO [pool-7-thread-1]: Queue --> 1 
21:25:24.010 INFO [pool-7-thread-1]: Queue --> 1 
21:25:24.070 INFO [pool-7-thread-1]: Queue --> 0 
21:25:24.265 INFO [pool-7-thread-1]: Queue --> 1 
21:25:24.354 INFO [pool-7-thread-1]: Queue --> 1 
21:25:24.435 INFO [pool-7-thread-1]: Queue --> 1 
21:25:24.524 INFO [pool-7-thread-1]: Queue --> 0 
21:25:24.700 INFO [pool-7-thread-1]: Queue --> 1 
21:25:24.790 INFO [pool-7-thread-1]: Queue --> 0 
21:25:24.870 INFO [pool-7-thread-1]: Queue --> 1 
21:25:24.933 INFO [pool-7-thread-1]: Queue --> 0 
21:25:25.125 INFO [pool-7-thread-1]: Queue --> 1 
21:25:25.217 INFO [pool-7-thread-1]: Queue --> 0 
21:25:25.344 INFO [pool-7-thread-1]: Queue --> 1 
21:25:25.415 INFO [pool-7-thread-1]: Queue --> 0 
21:25:25.536 INFO [pool-7-thread-1]: Queue --> 1 
21:25:25.631 INFO [pool-7-thread-1]: Queue --> 0 
21:25:25.686 INFO [pool-7-thread-1]: Queue --> 0 
21:25:25.902 INFO [pool-7-thread-1]: Queue --> 1 
21:25:25.968 INFO [pool-7-thread-1]: Queue --> 0 
21:25:26.100 INFO [pool-7-thread-1]: Queue --> 1 
21:25:26.173 INFO [pool-7-thread-1]: Queue --> 0 
21:25:26.224 INFO [pool-7-thread-1]: Queue --> 0 
21:25:26.425 INFO [pool-7-thread-1]: Queue --> 1 
21:25:26.519 INFO [pool-7-thread-1]: Queue --> 0 
21:25:26.637 INFO [pool-7-thread-1]: Queue --> 1 
21:25:26.704 INFO [pool-7-thread-1]: Queue --> 0 
21:25:26.856 INFO [pool-7-thread-1]: Queue --> 1 
21:25:26.954 INFO [pool-7-thread-1]: Queue --> 0 
21:25:27.101 INFO [pool-7-thread-1]: Queue --> 1 
21:25:27.192 INFO [pool-7-thread-1]: Queue --> 0 
21:25:27.274 INFO [pool-7-thread-1]: Queue --> 1 
21:25:27.336 INFO [pool-7-thread-1]: Queue --> 0 
21:25:27.509 INFO [pool-7-thread-1]: Queue --> 1 
21:25:27.600 INFO [pool-7-thread-1]: Queue --> 0 
21:25:27.679 INFO [pool-7-thread-1]: Queue --> 1 
21:25:27.742 INFO [pool-7-thread-1]: Queue --> 0 
21:25:27.934 INFO [pool-7-thread-1]: Queue --> 1 
21:25:28.067 INFO [pool-7-thread-1]: Queue --> 1 
21:25:28.174 INFO [pool-7-thread-1]: Queue --> 0 
21:25:28.328 INFO [pool-7-thread-1]: Queue --> 1 
21:25:28.446 INFO [pool-7-thread-1]: Queue --> 0 
21:25:28.529 INFO [pool-7-thread-1]: Queue --> 0 
21:25:28.632 INFO [pool-7-thread-1]: Queue --> 0 
21:25:28.721 INFO [pool-7-thread-1]: Queue --> 0 
21:25:28.895 INFO [pool-7-thread-1]: Queue --> 1 
21:25:28.962 INFO [pool-7-thread-1]: Queue --> 0 
21:25:29.082 INFO [pool-7-thread-1]: Queue --> 1 
21:25:29.172 INFO [pool-7-thread-1]: Queue --> 0 
21:25:29.253 INFO [pool-7-thread-1]: Queue --> 1 
21:25:29.315 INFO [pool-7-thread-1]: Queue --> 0 
21:25:29.519 INFO [pool-7-thread-1]: Queue --> 1 
21:25:29.617 INFO [pool-7-thread-1]: Queue --> 1 
21:25:29.689 INFO [pool-7-thread-1]: Queue --> 0 
21:25:29.824 INFO [pool-7-thread-1]: Queue --> 1 
21:25:29.890 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.077 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.177 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.257 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.319 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.468 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.534 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.703 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.767 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.922 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.086 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.180 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.304 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.373 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.495 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.562 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.691 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.757 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.882 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.975 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.128 INFO [pool-7-thread-1]: Queue --> 1 
21:25:32.173 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.296 INFO [pool-7-thread-1]: Queue --> 1 
21:25:32.359 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.519 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.582 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.720 INFO [pool-7-thread-1]: Queue --> 1 
21:25:32.781 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.906 INFO [pool-7-thread-1]: Queue --> 0 
21:25:33.078 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.168 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.248 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.311 INFO [pool-7-thread-1]: Queue --> 0 
21:25:33.500 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.591 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.668 INFO [pool-7-thread-1]: Queue --> 0 
